ID,Country of Origin,Farm Name,Mill,Company,Altitude,Region,Producer,In-Country Partner,Harvest Year,Owner,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,Certification Body
137,Honduras,La Cuchilla,Cigrah,Cigrah,1368,Ajuterique,Fausto Nahun Maldonado,Instituto Hondureño Del Café,2022,Comercial Internacional De Granos De Honduras Sa De Cv,Catuai,Washed / Wet,7.67,7.67,7.5,7.58,7.58,7.5,10.0,10.0,10.0,7.58,0.0,83.08,10.6,0,2,green,7,Instituto Hondureño Del Café
138,Honduras,Bethel,Cadexsa,Cadexsa,1450,La Paz,Omar Acosta,Instituto Hondureño Del Café,2023,Cadexsa,Catuai,Washed / Wet,7.75,7.58,7.58,7.58,7.58,7.5,10.0,10.0,10.0,7.5,0.0,83.08,9.6,0,0,green,2,Instituto Hondureño Del Café
139,Colombia,El Prado,Neiva,Carcafe Ltda,1650,Huila,Franklin Dussan,Asociación Colombiana Para La Excelencia Del Cafe,2023,Rodrigo Amaya,Caturra,Washed / Wet,8.0,7.67,7.42,7.58,7.58,7.42,10.0,10.0,10.0,7.33,0.0,83.0,13.1,0,0,bluish-green,1,Asociación Colombiana Para La Excelencia Del Cafe
140,Taiwan,Shuqiaowozhuangyuan,Shuqiaowozhuangyuan,Taiwu Coffee Cooperative,300,Xinzhuxian,Wangweishu,Taiwan Coffee Laboratory,2022,Taiwu,Typica,Pulped Natural / Honey,7.5,7.67,7.58,7.58,7.5,7.5,10.0,10.0,10.0,7.58,0.0,82.92,8.9,0,0,blue-green,0,Taiwan Coffee Laboratory
141,Mexico,Finca Tequihua,"Coatepec, Veracruz",La Villa Coffee Company Llc,1350,Veracruz,Martin Tequihuatle Zepahua,Centro Agroecológico Del Café A.C.,2022,Alvin La Vaughn Landry,Bourbon,Washed / Wet,7.75,7.5,7.42,7.67,7.58,7.5,10.0,10.0,10.0,7.5,0.0,82.92,11.9,2,0,green,1,Centro Agroecológico Del Café A.C.
142,Colombia,La Argentina,La Argentina,Coffee Quality Union,1350,Quindio,Augusto Torres,Japan Coffee Exchange,2022,Coffee Quality Union,Typica Gesha,Washed / Wet,7.58,7.5,7.5,7.67,7.58,7.5,10.0,10.0,10.0,7.58,0.0,82.92,11.5,0,1,greenish,3,Japan Coffee Exchange
143,Taiwan,Songyuekafeizhuangyuan,Yes,Chenyiguojiyouxiangongsi,1200,Gukeng Township,Guoliangzhi,Blossom Valley International,2022,Guoliangzhi,Gesha,Unknown,7.67,7.5,7.42,7.75,7.42,7.58,10.0,10.0,10.0,7.58,0.0,82.92,10.2,0,0,yellow-green,0,Blossom Valley International
144,Honduras,Varias,Beneficio Seco Comsa,Cafe Organico Marcala S.A De C.V.,1280,Marcala,Varios,Instituto Hondureño Del Café,2023,Eliud Hernandez Gonzales,Catuai,Washed / Wet,7.67,7.58,7.5,7.5,7.58,7.5,10.0,10.0,10.0,7.5,0.0,82.83,10.0,0,0,green,4,Instituto Hondureño Del Café
145,Thailand,Doi Tung Development Project,Dry Mill,Doi Tung Development Project,1500,North Of Thailand,Doi Tung Development Project,Fabb Academy Of Coffee,2022,Doi Tung Development Project,Gayo,Washed / Wet,7.17,7.92,7.58,7.5,7.58,7.67,10.0,10.0,10.0,7.42,0.0,82.83,11.8,0,0,yellow-green,5,Fabb Academy Of Coffee
146,Vietnam,Ea Tan Cooperative,Simexco Daklak Ltd,Simexco Daklak Ltd,900,Krong Nang District,Ea Tan Cooperative,Specialty Coffee Association,2022,Simexco Daklak,Catimor,Pulped Natural / Honey,7.58,7.42,7.58,7.5,7.67,7.75,10.0,10.0,10.0,7.33,0.0,82.83,13.3,0,0,green,4,Specialty Coffee Association
147,Nicaragua,Finca San Felipe,Beneficio Atlantic Sébaco,Exportadora Atlantic S.A,1200,Matagalpa,Exportadora Atlantic S.A.,Asociación De Cafés Especiales De Nicaragua,2023,"Exportadora Atlantic, S.A.",Shg,Natural / Dry,7.33,7.58,7.25,7.33,7.75,8.17,10.0,10.0,10.0,7.33,0.0,82.75,10.5,5,2,green,1,Asociación De Cafés Especiales De Nicaragua
148,Costa Rica,Ama El Aroma Micro Lot - Sunrise,Micro Mill,Taiwan Coffee Laboratory,1450,West Villege,Various Producers,Taiwan Coffee Laboratory,2021,Taiwan Coffee Laboratory,Sl28,Pulped Natural / Honey,7.33,7.5,7.25,7.92,7.75,7.58,10.0,10.0,10.0,7.42,0.0,82.75,11.8,0,0,pale-yellow,1,Taiwan Coffee Laboratory
149,Colombia,Federación Nacional De Cafeteros De Colombia,Federación Nacional De Cafeteros De Colombia,"Nippon Coffee Trading Co.,Ltd.",1700,Huila,Federación Nacional De Cafeteros De Colombia,Japan Coffee Exchange,2022,Yukinobu Ueda,Caturra,Washed / Wet,7.58,7.67,7.58,7.5,7.33,7.5,10.0,10.0,10.0,7.5,0.0,82.67,11.8,0,1,green,2,Japan Coffee Exchange
150,Thailand,Doi Tung Development Project,Dry Mill,Doi Tung Development Project,1580,North Of Thailand,Doi Tung Development Project,Fabb Academy Of Coffee,2022,Doi Tung Development Project,Caturra,Washed / Wet,7.33,7.58,7.58,7.5,7.67,7.67,10.0,10.0,10.0,7.33,0.0,82.67,13.0,1,0,greenish,0,Fabb Academy Of Coffee
151,Thailand,Kevin Coffee,Dry Mill,Square Root,1200,Chiang Mai,Kevin Wattana,Specialty Coffee Institute Of Thailand,2022,Sajcha Tawaytibhong,Bourbon,Natural / Dry,7.5,7.58,7.5,7.42,7.5,7.58,10.0,10.0,10.0,7.58,0.0,82.67,11.2,0,0,yellow-green,0,Specialty Coffee Institute Of Thailand
152,Honduras,Bethel,Cadexsa,Cadexsa,1450,Los Planes De Santa Maria La Paz,Omar Acosta,Instituto Hondureño Del Café,2023,Cadexsa,Catuai,Washed / Wet,7.67,7.58,7.33,7.5,7.58,7.5,10.0,10.0,10.0,7.5,0.0,82.67,9.6,0,0,green,2,Instituto Hondureño Del Café
153,Taiwan,Tongjingzhuangyuan,Tongjingzhuangyuan,Taiwu Coffee Cooperative,165,Miaolixian,Wushengfa,Taiwan Coffee Laboratory,2022,Taiwu,Unknown,Natural / Dry,7.67,7.67,7.42,7.42,7.42,7.5,10.0,10.0,10.0,7.5,0.0,82.58,9.8,0,0,green,0,Taiwan Coffee Laboratory
154,Taiwan,Juxiangyuan,Juxiangyuan,Taiwu Coffee Cooperative,465,Miaolixian,Xieyuanzhen,Taiwan Coffee Laboratory,2022,Taiwu,Caturra,Washed / Wet,7.67,7.58,7.42,7.42,7.5,7.5,10.0,10.0,10.0,7.5,0.0,82.58,8.4,0,0,blue-green,2,Taiwan Coffee Laboratory
155,Nicaragua,Finca Las Dos Marias,"Compare Coperativo Condega, Esteli, Nicaragua",Nicanola Coffee,1350,Esteli,Nicanola Coffee,Specialty Coffee Association,2022,Rene J Alcebo,Parainema,Washed / Wet,7.5,7.58,7.42,7.58,7.5,7.58,10.0,10.0,10.0,7.42,0.0,82.58,10.1,0,0,green,0,Specialty Coffee Association
156,El Salvador,Agua Caliente,Agua Caliente,Consejo Salvadoreño Del Café,1200,Ilamatepec,"J.J. Borja Nathan, S.A.",Salvadoran Coffee Council,2023,Consejo Salvadoreño Del Café,Bourbon,Washed / Wet,7.67,7.33,7.17,7.67,7.83,7.5,10.0,10.0,10.0,7.33,0.0,82.5,11.3,0,0,green,2,Salvadoran Coffee Council
157,Panama,Finca Lerida,Finca Lerida,Panamerican Coffee Trading,1200,Boquete,Finca Lerida,Specialty Coffee Association Of Costa Rica,2022,Rodrigo Soto,Caturra,Washed / Wet,7.75,7.67,7.17,7.67,7.42,7.42,10.0,10.0,10.0,7.42,0.0,82.5,10.0,0,0,green,0,Specialty Coffee Association Of Costa Rica
158,Brazil,Fazenda Pedra Preta,Copag Varginha,Man Volcafe Brasil Ltda.,1100,Sul De Minas,Eduardo Niero De Souza,Brazil Specialty Coffee Association,2023,Ed&F Man Volcafe Brasil Ltda.,Mundo Novo,Natural / Dry,7.5,7.58,7.5,7.5,7.67,7.42,10.0,10.0,10.0,7.33,0.0,82.5,11.8,0,1,bluish-green,1,Brazil Specialty Coffee Association
159,United States (Hawaii),Kainaliu Farm,Aloha Hills Kona Coffee,Taiwan Coffee Laboratory,640,Kona,Kainaliu-Kona Coffee Company,Taiwan Coffee Laboratory,2022,Taiwan Coffee Laboratory,Maragogype,Washed / Wet,7.33,7.58,7.5,7.5,7.5,7.58,10.0,10.0,10.0,7.5,0.0,82.5,11.7,0,0,blue-green,1,Taiwan Coffee Laboratory
160,Mexico,Las Trincheras,Las Trincheras,Taiwan Coffee Laboratory,1340,Veracruz,Jose Cienfuegos,Taiwan Coffee Laboratory,2021,Full Sweet Coffee,Pacamara,Washed / Wet,7.67,7.42,7.5,7.5,7.67,7.42,10.0,10.0,10.0,7.33,0.0,82.5,10.7,0,0,pale-yellow,0,Taiwan Coffee Laboratory
161,Honduras,La Cuchilla,Cigrah,Mercon Honduras,1368,Ajuterique,Fausto Nahun Maldonado,Instituto Hondureño Del Café,2022,Comercial Internacional De Granos De Honduras Sa De Cv,Catuai,Washed / Wet,7.58,7.58,7.33,7.5,7.58,7.42,10.0,10.0,10.0,7.5,0.0,82.5,10.6,0,0,green,8,Instituto Hondureño Del Café
162,Taiwan,Hongxinkafeiyuan,Hongxinkafeiyuan,Taiwu Coffee Cooperative,139,Xinzhuxian,Humingjie,Taiwan Coffee Laboratory,2022,Taiwu,Unknown,Washed / Wet,7.42,7.42,7.58,7.42,7.58,7.5,10.0,10.0,10.0,7.58,0.0,82.5,8.4,0,0,green,2,Taiwan Coffee Laboratory
163,Nicaragua,Finca Aurora,Beneficio Seco Finca Aurora,Mr.Brown Cafe,1350,Nicaragua,Sabio Coffee - Enrique Ferrufino & Tania Ferrufino,Taiwan Coffee Laboratory,2022,Mr.Brown Cafe,Caturra-Catuai,Washed / Wet,7.58,7.58,7.42,7.42,7.5,7.5,10.0,10.0,10.0,7.42,0.0,82.42,11.4,0,0,bluish-green,0,Taiwan Coffee Laboratory
164,Vietnam,Apollo Estate,Dry Mill,"Sunvirtue Co., Ltd.",1040,Dalat,"Yeh,Li Chuan",Specialty Coffee Association,2021,"Sunvirtue Co., Ltd.",Catimor,Washed / Wet,7.5,7.5,7.33,7.5,7.5,7.42,10.0,10.0,10.0,7.58,0.0,82.33,10.5,0,0,bluish-green,0,Specialty Coffee Association
165,El Salvador,Agua Caliente,Agua Caliente,Consejo Salvadoreño Del Café,1200,Ilamatepec,"J.J. Borja Nathan, S.A.",Salvadoran Coffee Council,2023,Consejo Salvadoreño Del Café,Bourbon,Washed / Wet,7.5,7.5,7.42,7.42,7.42,7.67,10.0,10.0,10.0,7.42,0.0,82.33,12.0,0,7,green,10,Salvadoran Coffee Council
166,El Salvador,Agua Caliente,Agua Caliente,Consejo Salvadoreño Del Café,1200,Ilamatepec,"J.J. Borja Nathan, S.A.",Salvadoran Coffee Council,2022,Consejo Salvadoreño Del Café,Bourbon,Washed / Wet,7.33,7.67,7.25,7.67,7.83,7.42,10.0,10.0,10.0,7.17,0.0,82.33,11.8,0,0,bluish-green,0,Salvadoran Coffee Council
167,Taiwan,Baoshanmijing,Baoshanmijing,Taiwu Coffee Cooperative,140,Xinzhuxian,Songxuren,Taiwan Coffee Laboratory,2022,Taiwu,Unknown,Natural / Dry,7.67,7.58,7.42,7.5,7.33,7.42,10.0,10.0,10.0,7.42,0.0,82.33,10.8,0,0,green,1,Taiwan Coffee Laboratory
168,Peru,Fundo La Libertado,Planta Callao,Itochu Corporation,1600,La Merced,Sand Crispin Espiritu,Japan Coffee Exchange,2023,Kiichiro Iwata,Caturra,Washed / Wet,7.67,7.5,7.33,7.58,7.33,7.42,10.0,10.0,10.0,7.42,0.0,82.25,11.7,0,1,greenish,3,Japan Coffee Exchange
169,United States (Hawaii),Manny'S Farm,Manny'S Farm,Taiwan Coffee Laboratory,1200,Kona District Of Big Island,Manny Ochoa,Taiwan Coffee Laboratory,2022,Taiwan Coffee Laboratory,Typica,Washed / Wet,7.75,7.42,7.33,7.5,7.33,7.5,10.0,10.0,10.0,7.33,0.0,82.17,10.6,1,0,green,5,Taiwan Coffee Laboratory
170,Kenya,Kenyan Highlands,Taylor Winch,Coffee Quality Union,1950,Kericho,Slelected Small Holder,Japan Coffee Exchange,2022,Coffee Quality Union,Sl28,Washed / Wet,7.5,7.5,7.42,7.5,7.25,7.5,10.0,10.0,10.0,7.5,0.0,82.17,11.2,0,0,green,2,Japan Coffee Exchange
171,Honduras,La Cuchilla,Cigrah,Mercon Honduras,1368,Ajuterique,Fausto Nahun Maldonado,Instituto Hondureño Del Café,2022,Comercial Internacional De Granos De Honduras Sa De Cv,Catuai,Washed / Wet,7.67,7.5,7.25,7.5,7.5,7.33,10.0,10.0,10.0,7.42,0.0,82.17,10.6,0,0,green,8,Instituto Hondureño Del Café
172,Taiwan,Jinnuannongchang,Jinnuannongchang,Taiwu Coffee Cooperative,600,Taoyuanshi,Heyuda,Taiwan Coffee Laboratory,2022,Taiwu,Unknown,Washed / Wet,7.5,7.67,7.33,7.5,7.25,7.33,10.0,10.0,10.0,7.5,0.0,82.08,9.7,0,0,bluish-green,0,Taiwan Coffee Laboratory
173,Taiwan,Haokenongyi,Haokenongyi,Taiwu Coffee Cooperative,460,Miaolixian,Pengcongming,Taiwan Coffee Laboratory,2022,Taiwu,Unknown,Pulped Natural / Honey,7.33,7.42,7.42,7.5,7.42,7.5,10.0,10.0,10.0,7.5,0.0,82.08,8.1,0,0,greenish,3,Taiwan Coffee Laboratory
174,Taiwan,Lalashanzulankafeizhuangyuan,Lalashanzulankafeizhuangyuan,Taiwu Coffee Cooperative,500,Taoyuanshi,Zongsuxia,Taiwan Coffee Laboratory,2022,Taiwu,Unknown,Washed / Wet,7.5,7.58,7.42,7.42,7.25,7.42,10.0,10.0,10.0,7.42,0.0,82.0,8.2,0,0,green,1,Taiwan Coffee Laboratory
175,Thailand,Doi Tung Development Project,Dry Mill,Doi Tung Development Project,1200,North Of Thailand,Doi Tung Development Project,Fabb Academy Of Coffee,2022,Doi Tung Development Project,Catimor,Washed / Wet,7.17,7.5,7.42,7.42,7.58,7.5,10.0,10.0,10.0,7.42,0.0,82.0,9.8,0,0,green,0,Fabb Academy Of Coffee
176,Costa Rica,San Diego Mill,Dosmil,Beneficios Volcafé Costa Rica,1500,Corralillo Tarrazu,San Diego Mill,Specialty Coffee Association Of Costa Rica,2019,Volcafe Japan,Caturra,Washed / Wet,7.42,7.42,7.42,7.33,7.58,7.33,10.0,10.0,10.0,7.5,0.0,82.0,10.5,1,2,green,8,Specialty Coffee Association Of Costa Rica
177,Guatemala,Not Specificated,Dry Mill Of Exportcafe,Marubeni Corporation,1550,Oriente,"Exportcafe, S.A.",Japan Coffee Exchange,2022,Ikuto Uehara,Unknown,Washed / Wet,7.42,7.42,7.42,7.33,7.5,7.42,10.0,10.0,10.0,7.5,0.0,82.0,11.5,0,1,blue-green,2,Japan Coffee Exchange
178,Indonesia,Wahana Graha Makmur,Pt. Wahana Graha Makmur Medan,Interamerican Coffee,1350,Sumatra,Pt. Wahana Graha Makmur Group,Nkg Quality Service A Division Of Bernhard Rothfos Intercafé Ag,2022,Charles Umeano,Unknown,Pulped Natural / Honey,7.67,7.33,7.25,7.67,7.42,7.25,10.0,10.0,10.0,7.42,0.0,82.0,12.5,0,0,bluish-green,0,Nkg Quality Service A Division Of Bernhard Rothfos Intercafé Ag
179,Peru,Fundo La Libertad,Planta Callao,Itochu Corporation,1600,La Merced,Sandro Crispin Espiritu,Japan Coffee Exchange,2023,Kiichiro Iwata,Caturra,Washed / Wet,7.5,7.5,7.33,7.5,7.33,7.33,10.0,10.0,10.0,7.42,0.0,81.92,11.6,0,2,greenish,2,Japan Coffee Exchange
180,Guatemala,Multiple Smallholder Farms,Multiple Smallholder Farms,"Haru International Corp,",1200~1600,Antigua,La Minita,Taiwan Coffee Laboratory,2022,Anderson Wong,Caturra,Washed / Wet,7.33,7.42,7.33,7.42,7.58,7.42,10.0,10.0,10.0,7.42,0.0,81.92,10.3,0,0,greenish,1,Taiwan Coffee Laboratory
181,Taiwan,Alasijia,Alasijia,Taiwu Coffee Cooperative,300,Taoyuanshi,Lixiuyuan,Taiwan Coffee Laboratory,2022,Taiwu,Typica,Pulped Natural / Honey,7.25,7.42,7.42,7.5,7.42,7.42,10.0,10.0,10.0,7.42,0.0,81.83,11.3,0,0,green,0,Taiwan Coffee Laboratory
182,Vietnam,Gaia Farms,Hulling Facility,Brew Baby Coffee Company,5400,Lam Dong Province,Viet Coffee Company Limited,Firedancer Coffee Consultants,2023,Rodney Murray,Catimor,Pulped Natural / Honey,7.5,7.5,7.25,7.42,7.42,7.42,10.0,10.0,10.0,7.33,0.0,81.83,11.2,0,0,green,4,Firedancer Coffee Consultants
183,Brazil,Sitio Colinas,Cocarive,Coffee Quality Union,1000,Mantiquira De Minas,Luis Flavio Pereira De Castro,Japan Coffee Exchange,2022,Coffee Quality Union,Yellow Catuai,Pulped Natural / Honey,7.5,7.5,7.42,7.33,7.33,7.33,10.0,10.0,10.0,7.42,0.0,81.83,11.3,0,0,pale-yellow,2,Japan Coffee Exchange
184,Brazil,Fazenda Olhos Dagua,Owned By Producer,Mr.Brown Cafe,1000,Sul De Minas,Paulo Enidio Crabi,Taiwan Coffee Laboratory,2021,Mr.Brown Cafe,Catucai,Natural / Dry,7.42,7.5,7.58,7.33,7.33,7.25,10.0,10.0,10.0,7.33,0.0,81.75,11.1,0,0,yellow-green,0,Taiwan Coffee Laboratory
185,Colombia,More Than One,Trilladora Cca Buga,Mr.Brown Cafe,1574,Santander,More Than One,Taiwan Coffee Laboratory,2021,Mr.Brown Cafe,Santander,Washed / Wet,7.33,7.5,7.33,7.42,7.42,7.42,10.0,10.0,10.0,7.33,0.0,81.75,11.2,0,0,yellow-green,0,Taiwan Coffee Laboratory
186,Mexico,Finca San José,"Coatepec, Veracruz",La Villa Coffee Company Llc,1200,Veracruz,José Gerardo Gutierrez Morales,Centro Agroecológico Del Café A.C.,2022,Alvin La Vaughn Landry,Typica,Washed / Wet,7.58,7.42,7.25,7.25,7.5,7.33,10.0,10.0,10.0,7.33,0.0,81.67,11.8,2,0,green,2,Centro Agroecológico Del Café A.C.
187,Costa Rica,Hacienda San Ignacio,Beneficio La Giorgia,Grupo Ecom,1200,Occidente,Fjo Orlich Hno Ltda,Specialty Coffee Association Of Costa Rica,2023,Ruddy Azofeifa,Caturra,Washed / Wet,7.33,7.42,7.25,7.42,7.42,7.33,10.0,10.0,10.0,7.42,0.0,81.58,9.7,0,2,green,4,Specialty Coffee Association Of Costa Rica
188,Taiwan,Henglu,Henglu,Taiwu Coffee Cooperative,300,Xinbeishi,Lvxinghui,Taiwan Coffee Laboratory,2022,Taiwu,Typica,Pulped Natural / Honey,7.42,7.5,7.33,7.33,7.33,7.33,10.0,10.0,10.0,7.33,0.0,81.58,9.0,0,0,yellow-green,0,Taiwan Coffee Laboratory
189,Taiwan,29,29,Taiwu Coffee Cooperative,435,Taibeishi,Houyiwei,Taiwan Coffee Laboratory,2022,Taiwu,Unknown,Pulped Natural / Honey,7.33,7.5,7.42,7.33,7.33,7.25,10.0,10.0,10.0,7.33,0.0,81.5,8.5,0,0,green,0,Taiwan Coffee Laboratory
190,Thailand,Doi Tung Development Project,Dry Mill,Doi Tung Development Project,1500,North Of Thailand,Doi Tung Development Project,Fabb Academy Of Coffee,2022,Doi Tung Development Project,Java,Washed / Wet,7.33,7.42,7.25,7.33,7.5,7.42,10.0,10.0,10.0,7.17,0.0,81.42,11.6,2,0,green,1,Fabb Academy Of Coffee
191,Thailand,Doi Lan,Miramar Coffee,Taiwan Coffee Laboratory,1400,Chiang Rai,Prakol Saelee,Taiwan Coffee Laboratory,2021,Full Sweet Coffee,Typica Bourbon Caturra Catimor,Natural / Dry,7.42,7.25,7.33,7.42,7.33,7.33,10.0,10.0,10.0,7.25,0.0,81.33,10.5,0,0,yellowish,5,Taiwan Coffee Laboratory
192,Thailand,Doi Tung Development Project,Dry Mill,Doi Tung Development Project,800,North Of Thailand,Doi Tung Development Project,Fabb Academy Of Coffee,2022,Doi Tung Development Project,Catimor,Washed / Wet,7.25,7.25,7.42,7.25,7.42,7.42,10.0,10.0,10.0,7.17,0.0,81.17,10.4,0,0,green,0,Fabb Academy Of Coffee
193,Colombia,Escalera,Escalera,Coffee Quality Union,1800,Cauca,Escalera,Japan Coffee Exchange,2022,Coffee Quality Union,Caturra,Washed / Wet,7.42,7.25,7.25,7.42,7.17,7.33,10.0,10.0,10.0,7.33,0.0,81.17,11.4,0,2,greenish,2,Japan Coffee Exchange
194,Brazil,Various Farm,Dry Mill Of Cocapil,Marubeni Corporation,1200,Ibiraci,Cocapil,Japan Coffee Exchange,2023,Ikuto Uehara,Unknown,Natural / Dry,7.42,7.42,7.25,7.25,7.17,7.25,10.0,10.0,10.0,7.25,0.0,81.0,10.6,0,2,greenish,1,Japan Coffee Exchange
195,El Salvador,"Rosario De Maria Ii, Area De Loma Alta","Optimum Coffee, San Salvador, El Salvador",Aprentium Enterprises Llc,1400,San Vicente,Roselia Yglesias,Salvadoran Coffee Council,2023,Roselia Yglesias,Bourbon,Natural / Dry,7.42,7.33,7.33,7.5,7.08,7.0,10.0,10.0,10.0,7.17,0.0,80.83,10.5,0,8,bluish-green,7,Salvadoran Coffee Council
196,Nicaragua,Exportadora Atlantic S.A,Lavado,Ishimitsu,1100,Unknown,Varios Productores,Japan Coffee Exchange,2021,Wanshanhuazhi,Caturra,Washed / Wet,7.25,7.25,7.17,7.33,7.08,7.25,10.0,10.0,10.0,7.17,0.0,80.5,11.5,0,1,greenish,3,Japan Coffee Exchange
197,Nicaragua,Sajonia Estate Coffee S.A.,Sajonia Estate Coffee S.A.,Sajonia Estate Coffee S.A.,1000,Jinotega,Sajonia Estate Coffee S.A.,Asociación De Cafés Especiales De Nicaragua,2023,Sajonia Estate Coffee S.A.,Sarchimor,Washed / Wet,7.42,7.17,7.0,7.08,7.42,7.17,10.0,10.0,10.0,7.17,0.0,80.42,11.2,0,0,green,5,Asociación De Cafés Especiales De Nicaragua
198,Colombia,Finca Mallorca,Finca Mallorca,Coffee Quality Union,1600,Valle Del Cauca,Finca Mallorca,Japan Coffee Exchange,2022,Coffee Quality Union,Castillo,Washed / Wet,7.25,7.25,7.17,7.33,7.0,7.17,10.0,10.0,10.0,7.25,0.0,80.42,11.0,0,3,greenish,3,Japan Coffee Exchange
199,Peru,Fundo La Libertad,Callao Plant,Itochu Corporation,1600,Lamerced,Sandro Crispin Espiritu,Japan Coffee Exchange,2023,Kiichiro Iwata,Caturra,Washed / Wet,7.5,7.25,7.17,7.17,7.17,7.08,10.0,10.0,10.0,7.0,0.0,80.33,11.8,0,6,greenish,11,Japan Coffee Exchange
200,El Salvador,"Rosario De Maria Ii, Area De Menjivar","Optimum Coffee, San Salvador, El Salvador",Aprentium Enterprises Llc,1300,San Vicente,Roselia Yglesias,Salvadoran Coffee Council,2023,Roselia Yglesias,Pacas,Natural / Dry,7.08,7.25,7.08,7.42,7.42,7.08,10.0,10.0,10.0,7.0,0.0,80.33,11.5,0,10,bluish-green,7,Salvadoran Coffee Council
201,Brazil,Various Farm,Dry Mill,Marubeni,1200,Ibiraci,Cocapil,Japan Coffee Exchange,2022,Ikuto Uehara,Catuai And Mundo Novo,Natural / Dry,7.25,7.17,7.17,7.08,7.17,7.17,10.0,10.0,10.0,7.17,0.0,80.17,11.6,0,1,greenish,2,Japan Coffee Exchange
202,Brazil,Fazenda Conquista,Dry Mill,Ipanema Coffees,950,Sul De Minas,Ipanema Coffees,Brazil Specialty Coffee Association,2023,Ipanema Coffees,Mundo Novo,Natural / Dry,7.17,7.17,6.92,7.17,7.42,7.17,10.0,10.0,10.0,7.08,0.0,80.08,11.4,0,0,green,4,Brazil Specialty Coffee Association
203,Nicaragua,Finca San Felipe,Beneficio Atlantic Sébaco,Exportadora Atlantic S.A,1200,Matagalpa,Exportadora Atlantic S.A.,Asociación De Cafés Especiales De Nicaragua,2023,"Exportadora Atlantic, S.A.",Shg,Natural / Dry,7.33,7.08,6.75,7.17,7.42,7.17,10.0,10.0,10.0,7.08,0.0,80.0,10.4,0,2,green,12,Asociación De Cafés Especiales De Nicaragua
204,Laos,-,Dry Mill,Marubeni Corporation,1300,Bolaven Plateau,"Lao Minh Tien Coffee Sole Co.,Ltd",Japan Coffee Exchange,2022,Ikuto Uehara,Catimor,Washed / Wet,7.25,7.17,7.08,7.0,7.08,7.08,10.0,10.0,10.0,7.0,0.0,79.67,11.6,0,9,green,11,Japan Coffee Exchange
205,El Salvador,"Rosario De Maria Ii, Area De La Pila","Optimum Coffee, San Salvador, El Salvador",Aprentium Enterprises Llc,1200,La Paz,Roselia Yglesias,Salvadoran Coffee Council,2023,Roselia Yglesias,Maragogype,Natural / Dry,6.5,6.75,6.75,7.17,7.08,7.0,10.0,10.0,10.0,6.83,0.0,78.08,11.0,0,12,bluish-green,13,Salvadoran Coffee Council
206,Brazil,Walter Matter,Beneficio Humedo/Seco,Descafeinadores Mexicano Sa. De Cv,1100,Minas Gerais,Walter Matter,Centro Agroecológico Del Café A.C.,2022,Descafeinadores Mexicanos S.A De C.V,Mundo Novo,Semi Washed,7.25,7.08,6.67,6.83,6.83,6.67,10.0,10.0,10.0,6.67,0.0,78.0,11.3,0,0,green,1,Centro Agroecológico Del Café A.C.
